1573.000,1.000,0.374,4193.000,1.000,0.178,1682.000,1.000,0.166,2725.000,1.000,0.166,6876.000,1.000,0.165
1575.000,1.000,0.302,1843.000,1.000,0.220,6301.000,1.000,0.219,7441.000,1.000,0.207,6876.000,1.000,0.207
1592.000,1.000,0.311,7400.000,1.000,0.124,2971.000,1.000,0.123,1316.000,1.000,0.118,5328.000,1.000,0.118
1599.000,1.000,0.754,1316.000,2.000,0.230,4193.000,1.000,0.226,5572.000,1.000,0.210,1843.000,1.000,0.202
1607.000,1.000,0.617,5356.000,4.000,0.185,3793.000,1.000,0.139,4965.000,1.000,0.137,4858.000,1.000,0.124
1609.000,1.000,0.441,4193.000,1.000,0.362,2725.000,1.000,0.294,5502.000,1.000,0.285,7381.000,1.000,0.279
1624.000,1.000,0.343,1609.000,1.000,0.262,4193.000,1.000,0.246,7441.000,1.000,0.241,3367.000,1.000,0.238
1635.000,1.000,0.333,1164.000,1.000,0.157,4268.000,1.000,0.157,2547.000,1.000,0.151,3701.000,1.000,0.148
1639.000,1.000,0.336,1843.000,1.000,0.251,2732.000,1.000,0.226,5207.000,1.000,0.216,5572.000,1.000,0.213
1657.000,1.000,0.344,5572.000,1.000,0.180,1546.000,1.000,0.174,4644.000,1.000,0.167,2732.000,1.000,0.164
1660.000,1.000,0.448,6876.000,1.000,0.160,5443.000,1.000,0.158,5756.000,1.000,0.155,5189.000,1.000,0.152
1661.000,1.000,0.501,6426.000,1.000,0.137,3337.000,1.000,0.136,5328.000,1.000,0.131,1682.000,1.000,0.124
1664.000,1.000,0.743,1316.000,1.000,0.192,5290.000,1.000,0.169,4517.000,1.000,0.154,5755.000,1.000,0.146
1667.000,1.000,0.282,1609.000,1.000,0.200,5756.000,1.000,0.175,4924.000,1.000,0.174,5332.000,1.000,0.172
1670.000,1.000,0.574,5572.000,1.000,0.219,6876.000,1.000,0.218,6819.000,1.000,0.202,4193.000,1.000,0.195
1673.000,1.000,0.350,1843.000,1.000,0.246,6301.000,1.000,0.240,5572.000,1.000,0.234,6876.000,1.000,0.232
1679.000,1.000,0.327,1609.000,1.000,0.235,7441.000,1.000,0.214,3367.000,1.000,0.205,5078.000,1.000,0.204
